Clave,Concepto,Unidad
1,CASA COMALA L13,
1,PRELIMINARES Y CIMENTACION,
CRTC-CIM-001,"LIMPIA, TRAZO Y NIVELACIÓN MANUAL PARA",M2
,"ESTABLECER EJES, BANCO DE NIVEL Y",
,"REFERENCIAS, INCLUYE: MATERIALES, MANO DE",
,"OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-CIM-002,DESPALME DE TERRENO NATURAL PARA RETIRO,M2
,"DE MATERIAL SUELTO Y MATERIA ORGÁNICA, DE",
,20 CM DE ESPESOR POR MEDIOS MECÁNICOS.,
,INCLUYE: ACAMELLONAMIENTO PARA SU,
,POSTERIOR RETIRO EN CAMIÓN.,
CRTC-CIM-003,CARGA DE MATERIAL PRODUCTO DEL,M3
,"DESPALME, EXCAVACIÓN Y/O LIMPIEZA DE",
,"TERRENO, CON MÁQUINA Y ACARREO EN",
,CAMIÓN VOLTEO A KILÓMETROS,
,SUBSECUENTES AL PRIMERO.,
CRTC-CIM-004,RELLENO DE TERRENO CON MATERIAL DE,M3
,"BANCO, COMPACTADO CON BAILARINA  EN",
,CAPAS NO MAYORES A 20 CM. INCLUYE: VOLTEO,
,"CON PALA, MANO DE OBRA, HERRAMIENTA,",
,"ACARREO, RETIRO DE SOBRANTES FUERA DE",
,OBRA Y TODO LO NECESARIO PARA SU,
,CORRECTA EJECUCION.,
CRTC-CIM-005,EXCAVACIÓN DE CEPAS CON MÁQUINA EN,M3
,"MATERIAL TIPO ""B"", EN SECO O PRESENCIA DE",
,AGUA DE 0.00 A 2.00 M DE PROFUNDIDAD.,
,INCLUYE: AFINE MANUAL DE TALUDES Y FONDO.,
CRTC-CIM-006,PLANTILLA DE CONCRETO SIMPLE F'C=100,M2
,KG/CM2 DE 5 CM DE ESPESOR. INCLUYE: AFINE,
,"DE TERRENO, ACARREOS, TENDIDO,",
,"MATERIALES, MANO DE OBRA Y HERRAMIENTA.",
CRTC-CIM-007,"ZAPATA AISLADA Z-1 DE SECCIÓN 1.20x1.20 M, 25",PZA
,"CM DE PERALTE, A 1.20 M DE PROFUNDIDAD.",
,PARRILLA ARMADA CON VARILLA DE #4 @15 CM,
,"EN AMBOS SENTIDOS, CONCRETO F'C=250",
,"KG/CM2. INCLUYE: MANO DE OBRA, CIMBRADO,",
,DESCIMBRADO Y VIBRADO DE CONCRETO.,
CRTC-CIM-008,ZAPATA AISLADA Z-2 DE SECCIÓN 1.00x1.00 M Y,PZA
,"25 CM DE PERALTE, A 1.20 M DE PROFUNDIDAD.",
,PARRILLA ARMADA CON VARILLA DE #4 @15 CM,
,"EN AMBOS SENTIDOS, CONCRETO F'C=250",
,"KG/CM2. INCLUYE: MANO DE OBRA, CIMBRADO,",
,DESCIMBRADO Y VIBRADO DE CONCRETO.,
CRTC-CIM-009,"ZAPATA CORRIDA ZC-1 DE 1.20 M DE ANCHO, 25",M
,"CM DE PERALTE, 1.20 M DE PROFUNDIDAD;",
,PARRILLA ARMADA CON VARILLA DE #4 @15 CM,
,"EN AMBOS SENTIDOS, CONCRETO F'C=250",
,"KG/CM2. INCLUYE: MANO DE OBRA, CIMBRADO,",
,DESCIMBRADO Y VIBRADO DE CONCRETO.,
CRTC-CIM-010,"ZAPATA CORRIDA ZC-2 DE 1.00 M DE ANCHO, 15",M
,"CM DE PERALTE, 1.10 M DE PROFUNDIDAD, CON",
,DALA DL DE 15x20 CM ARMADA CON 4 VARILLAS,
,DE #3 ESTRIBOS #2 @ 20 CM; PARRILLA ARMADA,
,CON VARILLA DE #3 @15 CM EN AMBOS,
,"SENTIDOS, CONCRETO F'C=250 KG/CM2.",
,"INCLUYE: MANO DE OBRA, CIMBRADO,",
,DESCIMBRADO Y VIBRADO DE CONCRETO.,
CRTC-CIM-011,"ZAPATA CORRIDA ZC-3 DE 0.80 M DE ANCHO, 15",M
,"CM DE PERALTE, 1.10 M DE PROFUNDIDAD CON",
,DALA DL DE 15x20 CM ARMADA CON 4 VARILLAS,
,DE #3 ESTRIBOS #2 @ 20 CM; PARRILLA ARMADA,
,CON VARILLA DE #3 @15 CM EN AMBOS,
,"SENTIDOS, CONCRETO F'C=250 KG/CM2.",
,"INCLUYE: MANO DE OBRA, CIMBRADO,",
,DESCIMBRADO Y VIBRADO DE CONCRETO.,
CRTC-CIM-012,ANCLAJE DE CASTILLO K-a DE SECCIÓN 15x15,PZA
,"CM, CON ARMEX 15x15-4 Y CONCRETO F'C= 150",
,KG/CM2. INCLUYE: SUMINISTRO DE LOS,
,"MATERIALES, ACARREOS, CORTES, TRASLAPES,",
,"AMARRES, DESPERDICIOS, MANO DE OBRA,",
,EQUIPO Y HERRAMIENTA.,
CRTC-CIM-013,ANCLAJE DE CASTILLO K-1 DE SECCIÓN 15x15,PZA
,"CM, ARMADO CON 4 VARILLAS DE #3 Y ESTRIBOS",
,"DE #2 6@10, @20, 6@10 CM Y CONCRETO F'C=",
,150 KG/CM2. INCLUYE: SUMINISTRO DE LOS,
,"MATERIALES, ACARREOS, CORTES, TRASLAPES,",
,"AMARRES, DESPERDICIOS, MANO DE OBRA,",
,EQUIPO Y HERRAMIENTA.,
CRTC-CIM-014,ANCLAJE DE CASTILLO K-3 DE SECCIÓN 15x30,PZA
,"CM, ARMADO CON 6 VARILLAS DE #3 Y ESTRIBOS",
,"DE #2 6@10, @20, 6@10 CM Y CONCRETO F'C=",
,150 KG/CM2. INCLUYE: SUMINISTRO DE LOS,
,"MATERIALES, ACARREOS, CORTES, TRASLAPES,",
,"AMARRES, DESPERDICIOS, MANO DE OBRA,",
,EQUIPO Y HERRAMIENTA.,
CRTC-CIM-015,ANCLAJE DE CASTILLO K-3r DE SECCIÓN 15x30,PZA
,"CM, ARMADO CON 6 VAR. DE #4 Y ESTRIBOS DE",
,"#2 6@10, @20, 6@10 CM, Y CONCRETO F'C= 200",
,KG/CM2. INCLUYE: SUMINISTRO DE LOS,
,"MATERIALES, ACARREOS, CORTES, TRASLAPES,",
,"AMARRES, DESPERDICIOS, MANO DE OBRA,",
,EQUIPO Y HERRAMIENTA.,
CRTC-CIM-016,ANCLAJE DE CASTILLO K-4r DE SECCIÓN 15x40,PZA
,"CM, ARMADO CON 8 VAR. DE #4 Y ESTRIBOS DE",
,"#2 6@10, @20, 6@10 CM, Y CONCRETO F'C= 200",
,KG/CM2. INCLUYE: SUMINISTRO DE LOS,
,"MATERIALES, ACARREOS, CORTES, TRASLAPES,",
,"AMARRES, DESPERDICIOS, MANO DE OBRA,",
,EQUIPO Y HERRAMIENTA.,
CRTC-CIM-017,ANCLAJE DE CASTILLO K-6 DE SECCIÓN 15x60,PZA
,"CM, ARMADO CON 10 VAR. DE #3 Y ESTRIBOS DE",
,"#2 6@10, @20, 6@10 CM, Y CONCRETO F'C= 200",
,KG/CM2. INCLUYE: SUMINISTRO DE LOS,
,"MATERIALES, ACARREOS, CORTES, TRASLAPES,",
,"AMARRES, DESPERDICIOS, MANO DE OBRA,",
,EQUIPO Y HERRAMIENTA.,
CRTC-CIM-018,ANCLAJE DE COLUMNA C-1 DE SECCIÓN 30X30,PZA
,CM ARMADA CON 4 VARILLAS DE #4 Y 4 VARILLAS,
,"DE #3, ESTRIBOS DE #3 (7@10, @20 Y 7@10 CM);",
,CONCRETO F'C= 250 KG/CM². INCLUYE:,
,"SUMINISTRO DE LOS MATERIALES, ACARREOS,",
,"CORTES, TRASLAPES, AMARRES, DESPERDICIOS,",
,"MANO DE OBRA, EQUIPO Y HERRAMIENTA.",
CRTC-CIM-019,MURO DE ENRRASE DE 15 CM DE ESPESOR Y,M
,"HASTA 1.00 M DE ALTURA, A BASE DE TABIQUE",
,"DE BARRO ROJO RECOCIDO DE 10x14x28 CM,",
,"ACABADO COMÚN, ASENTADO CON MEZCLA",
